"filename", "language", "C++", "CMake", "YAML", "Dart", "Markdown", "Swift", "JSON", "XML", "Gradle", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\main.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 18, 8, 80
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\anasayfa.dart", "Dart", 0, 0, 0, 710, 0, 0, 0, 0, 0, 0, 0, 52, 6, 768
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\bilgi.dart", "Dart", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 62, 7, 274
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\bireyselYardimBasvuru.dart", "Dart", 0, 0, 0, 377, 0, 0, 0, 0, 0, 0, 0, 2, 10, 389
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\main_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 6, 56
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\smaekle.dart", "Dart", 0, 0, 0, 747, 0, 0, 0, 0, 0, 0, 0, 6, 21, 774
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\models\belediyelink.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 17, 108
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\models\link.dart", "Dart", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 94, 10, 321
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\acikriza.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 12, 82
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\bagisyap.dart", "Dart", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 1, 6, 182
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\gizlilik.dart", "Dart", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 19, 104
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\iletisim.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 3, 85
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\kosullar.dart", "Dart", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 15, 104
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\lisanslar.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\sss.dart", "Dart", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 9, 158
"c:\Users\aliba\Desktop\saranel\saranel_application\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\aliba\Desktop\saranel\saranel_application\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
